id_cliente,idade,sexo,item_comprado,categoria,valor_compra(usd),localização,tamanho_item,cor_item,temporada_compra,classificação_cliente_compra,assinatura_cliente,método_pagamento,tipo_envio_cliente,desconto_compra,código_promocional,transações_concluidas_cliente,preferência_método_pagamento,frequência_compras_cliente,codigo_regiao
575,54,Masculino,Tênis,Calçados,79,Maine,L,Vermelho,Outono,4.8,Sim,PayPal,Frete grátis,Sim,Sim,20,Transferência Bancária,Bimensalmente,ME
576,58,Masculino,Jeans,Roupas,86,Nebraska,M,Pêssego,Outono,4.8,Sim,Venmo,Expresso,Sim,Sim,38,PayPal,Por mês,NE
577,48,Masculino,Chapéu,Acessórios,68,Washington,M,Preto,Inverno,5.0,Sim,Venmo,Envio em 2 dias,Sim,Sim,5,Cartão de Crédito,A cada 3 meses,WA
578,19,Masculino,Saia,Roupas,52,Alabama,M,Preto,Outono,3.7,Sim,PayPal,Retirada na loja,Sim,Sim,41,Venmo,Anualmente,AL
579,69,Masculino,Sandálias,Calçados,90,Maine,M,Roxo,Outono,4.6,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,22,Cartão de Crédito,Quinzenal,ME
580,58,Masculino,Sandálias,Calçados,41,California,M,Violeta,Inverno,3.7,Sim,Cartão de Débito,Frete grátis,Sim,Sim,48,Cartão de Crédito,Anualmente,CA
581,49,Masculino,Suéter,Roupas,80,Iowa,M,Laranja,Primavera,4.1,Sim,PayPal,Frete grátis,Sim,Sim,10,PayPal,Semanalmente,IA
582,32,Masculino,Suéter,Roupas,100,Iowa,XL,Carvão,Inverno,2.7,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,12,Transferência Bancária,A cada 3 meses,IA
583,40,Masculino,Jaqueta,Agasalhos,77,Colorado,L,Turquesa,Primavera,4.9,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,2,Transferência Bancária,Trimestral,CO
584,25,Masculino,Shorts,Roupas,78,California,L,Amarelo,Primavera,4.0,Sim,PayPal,Retirada na loja,Sim,Sim,38,PayPal,Por mês,CA
585,70,Masculino,Meias,Roupas,94,Indiana,M,Branco,Primavera,4.7,Sim,PayPal,Frete grátis,Sim,Sim,20,Cartão de Débito,Por mês,IN
586,69,Masculino,Meias,Roupas,23,South Carolina,M,Cinza,Outono,2.8,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,5,Dinheiro,A cada 3 meses,SC
587,45,Masculino,Capuz,Roupas,20,Wisconsin,S,Azul,Inverno,4.9,Sim,Venmo,Envio em 2 dias,Sim,Sim,9,Venmo,Anualmente,WI
588,29,Masculino,Meias,Roupas,86,Washington,S,Marrom,Outono,4.2,Sim,PayPal,Expresso,Sim,Sim,48,Cartão de Débito,A cada 3 meses,WA
589,47,Masculino,Botas,Calçados,60,South Dakota,M,Violeta,Outono,3.0,Sim,Cartão de Débito,Padrão,Sim,Sim,9,Cartão de Débito,Trimestral,SD
590,28,Masculino,Camisa,Roupas,70,Minnesota,M,Laranja,Outono,3.4,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,40,PayPal,Anualmente,MN
591,64,Masculino,Cinto,Acessórios,39,Alaska,S,Turquesa,Outono,4.6,Sim,Cartão de Crédito,Padrão,Sim,Sim,30,Venmo,Quinzenal,AK
592,47,Masculino,Mochila,Acessórios,37,Kentucky,L,Oliva,Outono,4.2,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,6,Cartão de Débito,Bimensalmente,KY
593,60,Masculino,Botas,Calçados,29,North Dakota,M,Marrom,Outono,3.2,Sim,Venmo,Frete grátis,Sim,Sim,42,Venmo,A cada 3 meses,ND
594,67,Masculino,Casaco,Agasalhos,35,Alaska,S,Verde,Inverno,4.4,Sim,Dinheiro,Retirada na loja,Sim,Sim,9,PayPal,A cada 3 meses,AK
595,35,Masculino,Capuz,Roupas,83,Oklahoma,S,Marrom,Inverno,2.5,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,6,Cartão de Débito,Por mês,OK
596,30,Masculino,Sapatos,Calçados,77,Delaware,M,Prata,Verão,3.6,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,47,PayPal,Trimestral,DE
597,23,Masculino,Sapatos,Calçados,37,Montana,XL,Branco,Verão,4.5,Sim,PayPal,Retirada na loja,Sim,Sim,36,Venmo,Anualmente,MT
598,70,Masculino,Joia,Acessórios,69,Alaska,L,Ouro,Verão,3.4,Sim,Transferência Bancária,Padrão,Sim,Sim,19,Transferência Bancária,Quinzenal,AK
599,21,Masculino,Vestido,Roupas,66,California,L,Verde,Inverno,3.2,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,30,Dinheiro,A cada 3 meses,CA
600,51,Masculino,Botas,Calçados,26,Massachusetts,L,Azul-petrolio,Primavera,4.2,Sim,Dinheiro,Padrão,Sim,Sim,27,Cartão de Débito,A cada 3 meses,MA
601,22,Masculino,Chapéu,Acessórios,63,South Carolina,M,Carvão,Primavera,5.0,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,25,Venmo,Por mês,SC
602,32,Masculino,Mochila,Acessórios,38,West Virginia,M,Marrom,Verão,4.7,Sim,Dinheiro,Retirada na loja,Sim,Sim,5,Dinheiro,Quinzenal,WV
603,37,Masculino,Sapatos,Calçados,58,Oregon,L,Lavanda,Verão,4.2,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,10,Dinheiro,A cada 3 meses,OR
604,31,Masculino,Bolsa,Acessórios,46,Massachusetts,L,Verde,Inverno,3.4,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,26,PayPal,A cada 3 meses,MA
605,44,Masculino,Oculos de sol,Acessórios,92,West Virginia,S,Rosa,Outono,4.4,Sim,Transferência Bancária,Retirada na loja,Sim,Sim,11,Cartão de Crédito,A cada 3 meses,WV
606,40,Masculino,Chapéu,Acessórios,32,California,XL,Carvão,Inverno,4.2,Sim,Cartão de Débito,Padrão,Sim,Sim,17,Transferência Bancária,Semanalmente,CA
607,27,Masculino,Lenço,Acessórios,90,Colorado,M,Azul,Primavera,4.5,Sim,Cartão de Crédito,Padrão,Sim,Sim,44,PayPal,Por mês,CO
608,47,Masculino,Capuz,Roupas,23,Indiana,L,Roxo,Outono,2.8,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,44,Dinheiro,Por mês,IN
609,41,Masculino,Mochila,Acessórios,25,Delaware,S,Ouro,Outono,3.3,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,21,Venmo,A cada 3 meses,DE
610,51,Masculino,Suéter,Roupas,54,Ohio,L,Roxo,Outono,4.6,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,49,Cartão de Crédito,Quinzenal,OH
611,53,Masculino,Shorts,Roupas,72,Oklahoma,M,Carvão,Verão,2.5,Sim,Cartão de Débito,Frete grátis,Sim,Sim,27,Transferência Bancária,A cada 3 meses,OK
612,43,Masculino,Lenço,Acessórios,33,California,M,Preto,Inverno,4.7,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,19,Dinheiro,Por mês,CA
613,67,Masculino,Chapéu,Acessórios,43,New Hampshire,L,Lavanda,Outono,4.6,Sim,PayPal,Expresso,Sim,Sim,33,Cartão de Crédito,Trimestral,NH
614,61,Masculino,Casaco,Agasalhos,51,Pennsylvania,L,Lavanda,Outono,2.6,Sim,Dinheiro,Padrão,Sim,Sim,46,Dinheiro,Bimensalmente,PA
615,68,Masculino,Joia,Acessórios,85,Idaho,M,Lavanda,Inverno,4.0,Sim,Dinheiro,Padrão,Sim,Sim,21,Cartão de Crédito,Bimensalmente,ID
616,67,Masculino,Sandálias,Calçados,100,Maryland,L,Oliva,Verão,2.6,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,23,Venmo,Anualmente,MD
617,29,Masculino,Luvas,Acessórios,72,Pennsylvania,L,Azul-petrolio,Primavera,4.6,Sim,Dinheiro,Frete grátis,Sim,Sim,38,Cartão de Crédito,A cada 3 meses,PA
618,50,Masculino,Mochila,Acessórios,57,Colorado,M,Marrom,Outono,2.6,Sim,Cartão de Débito,Padrão,Sim,Sim,2,Transferência Bancária,Trimestral,CO
619,61,Masculino,Jaqueta,Agasalhos,94,Indiana,L,Ciano,Primavera,4.0,Sim,Cartão de Crédito,Expresso,Sim,Sim,21,Cartão de Débito,Bimensalmente,IN
620,19,Masculino,Mochila,Acessórios,34,Nebraska,M,Carvão,Verão,4.6,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,1,Cartão de Débito,A cada 3 meses,NE
621,33,Masculino,Mochila,Acessórios,89,Rhode Island,M,Preto,Outono,3.7,Sim,PayPal,Envio em 2 dias,Sim,Sim,10,Venmo,A cada 3 meses,RI
622,51,Masculino,Oculos de sol,Acessórios,27,Kansas,S,Vermelho,Outono,4.4,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,45,Cartão de Crédito,Semanalmente,KS
623,69,Masculino,Meias,Roupas,63,Georgia,S,Pêssego,Primavera,4.0,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,44,Transferência Bancária,Quinzenal,GA
624,19,Masculino,Sapatos,Calçados,70,Nevada,M,Branco,Outono,4.7,Sim,Transferência Bancária,Padrão,Sim,Sim,48,PayPal,Bimensalmente,NV
625,55,Masculino,Calça,Roupas,87,South Carolina,XL,Rosa,Outono,3.4,Sim,Venmo,Expresso,Sim,Sim,21,PayPal,Anualmente,SC
626,49,Masculino,Joia,Acessórios,79,Delaware,M,Vermelho,Outono,4.0,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,1,Venmo,Semanalmente,DE
627,31,Masculino,Oculos de sol,Acessórios,79,New Hampshire,M,Índigo,Primavera,3.9,Sim,Cartão de Crédito,Padrão,Sim,Sim,10,Venmo,Anualmente,NH
628,42,Masculino,Sandálias,Calçados,44,Oregon,L,Preto,Inverno,4.1,Sim,Venmo,Expresso,Sim,Sim,24,PayPal,Por mês,OR
629,69,Masculino,Suéter,Roupas,85,Massachusetts,M,Branco,Outono,3.7,Sim,Venmo,Envio em 2 dias,Sim,Sim,29,Cartão de Crédito,Por mês,MA
630,26,Masculino,Sapatos,Calçados,90,Vermont,L,Bege,Primavera,4.7,Sim,Transferência Bancária,Padrão,Sim,Sim,11,Cartão de Débito,Anualmente,VT
631,41,Masculino,Joia,Acessórios,94,Mississippi,S,Prata,Outono,4.3,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,33,Cartão de Débito,Anualmente,MS
632,55,Masculino,Botas,Calçados,68,Washington,S,Violeta,Verão,4.1,Sim,Venmo,Retirada na loja,Sim,Sim,27,Dinheiro,Quinzenal,WA
633,35,Masculino,Mochila,Acessórios,51,Wyoming,M,Vermelho,Inverno,3.9,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,19,Venmo,Quinzenal,WY
634,66,Masculino,Sandálias,Calçados,33,Minnesota,M,Laranja,Primavera,2.9,Sim,Transferência Bancária,Expresso,Sim,Sim,50,Cartão de Débito,Trimestral,MN
635,36,Masculino,Tênis,Calçados,60,Ohio,M,Azul-petrolio,Verão,3.9,Sim,Transferência Bancária,Padrão,Sim,Sim,46,PayPal,Semanalmente,OH
636,27,Masculino,Capuz,Roupas,59,South Carolina,M,Marrom,Outono,4.3,Sim,PayPal,Envio em 2 dias,Sim,Sim,28,Dinheiro,Trimestral,SC
637,41,Masculino,Bolsa,Acessórios,30,Wisconsin,M,Índigo,Verão,2.8,Sim,Dinheiro,Retirada na loja,Sim,Sim,14,Transferência Bancária,A cada 3 meses,WI
638,21,Masculino,Suéter,Roupas,20,Tennessee,M,Ciano,Inverno,3.4,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,46,Dinheiro,Quinzenal,TN
639,53,Masculino,Sandálias,Calçados,20,Maryland,S,Azul,Verão,2.7,Sim,Venmo,Expresso,Sim,Sim,41,PayPal,Por mês,MD
640,54,Masculino,Vestido,Roupas,24,Mississippi,L,Oliva,Primavera,4.0,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,50,Cartão de Crédito,Anualmente,MS
641,53,Masculino,Saia,Roupas,88,Minnesota,M,Cinza,Verão,4.4,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,28,Cartão de Débito,Quinzenal,MN
642,47,Masculino,Blusa,Roupas,78,Alaska,M,Vermelho,Inverno,3.9,Sim,Venmo,Envio em 2 dias,Sim,Sim,23,Cartão de Crédito,A cada 3 meses,AK
643,64,Masculino,Saia,Roupas,25,Arkansas,L,Vermelho,Primavera,2.8,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,14,Cartão de Débito,Bimensalmente,AR
644,18,Masculino,Suéter,Roupas,57,Oregon,XL,Verde,Inverno,3.2,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,10,Transferência Bancária,A cada 3 meses,OR
645,68,Masculino,Mochila,Acessórios,93,Louisiana,S,Azul,Verão,4.3,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,37,Dinheiro,Semanalmente,LA
646,62,Masculino,Capuz,Roupas,42,Oklahoma,S,Roxo,Verão,4.2,Sim,Cartão de Crédito,Expresso,Sim,Sim,15,Venmo,Bimensalmente,OK
647,51,Masculino,Botas,Calçados,54,Indiana,XL,Rosa,Primavera,4.9,Sim,Cartão de Débito,Padrão,Sim,Sim,19,Venmo,Bimensalmente,IN
648,54,Masculino,Blusa,Roupas,70,Mississippi,XL,Carvão,Verão,3.7,Sim,Transferência Bancária,Expresso,Sim,Sim,23,Cartão de Crédito,Quinzenal,MS
649,22,Masculino,Capuz,Roupas,31,Michigan,M,Marrom,Inverno,4.1,Sim,Transferência Bancária,Retirada na loja,Sim,Sim,35,Cartão de Crédito,Semanalmente,MI
650,53,Masculino,Calça,Roupas,93,Delaware,L,Laranja,Primavera,4.2,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,33,PayPal,A cada 3 meses,DE
651,34,Masculino,Luvas,Acessórios,40,Florida,M,Magenta,Primavera,3.9,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,12,Transferência Bancária,Anualmente,FL
652,32,Masculino,Chapéu,Acessórios,32,Arkansas,L,Amarelo,Verão,2.9,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,41,Venmo,Quinzenal,AR
653,64,Masculino,Oculos de sol,Acessórios,27,Minnesota,M,Bege,Inverno,3.1,Sim,PayPal,Frete grátis,Sim,Sim,27,Venmo,Semanalmente,MN
654,20,Masculino,Lenço,Acessórios,68,North Dakota,M,Oliva,Inverno,3.6,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,45,Dinheiro,Quinzenal,ND
655,24,Masculino,Bolsa,Acessórios,59,California,L,Cinza,Verão,4.4,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,23,Venmo,Anualmente,CA
656,20,Masculino,Bolsa,Acessórios,36,Mississippi,S,Roxo,Outono,3.1,Sim,Cartão de Débito,Frete grátis,Sim,Sim,19,Venmo,Por mês,MS
657,42,Masculino,Jeans,Roupas,23,Pennsylvania,M,Bege,Verão,3.9,Sim,Cartão de Débito,Padrão,Sim,Sim,6,PayPal,Trimestral,PA
658,48,Masculino,Jaqueta,Agasalhos,80,Arizona,M,Branco,Inverno,4.3,Sim,PayPal,Frete grátis,Sim,Sim,6,PayPal,Trimestral,AZ
659,62,Masculino,Mochila,Acessórios,37,Louisiana,S,Branco,Outono,4.9,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,20,Venmo,Semanalmente,LA
660,62,Masculino,Shorts,Roupas,52,Virginia,S,Ouro,Primavera,3.6,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,8,Dinheiro,Semanalmente,VA
661,50,Masculino,Casaco,Agasalhos,79,Montana,M,Oliva,Outono,5.0,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,39,Cartão de Crédito,Trimestral,MT
662,57,Masculino,Camisa,Roupas,68,Iowa,XL,Verde,Outono,4.1,Sim,Dinheiro,Retirada na loja,Sim,Sim,39,Cartão de Crédito,Trimestral,IA
663,24,Masculino,Luvas,Acessórios,98,Illinois,L,Magenta,Outono,2.8,Sim,Cartão de Débito,Expresso,Sim,Sim,39,Venmo,Bimensalmente,IL
664,59,Masculino,Vestido,Roupas,83,Alaska,M,Carvão,Outono,4.7,Sim,Dinheiro,Expresso,Sim,Sim,23,Cartão de Crédito,Por mês,AK
665,63,Masculino,Calça,Roupas,83,Colorado,M,Índigo,Inverno,4.4,Sim,Dinheiro,Expresso,Sim,Sim,41,PayPal,Bimensalmente,CO
666,41,Masculino,Calça,Roupas,55,New Mexico,M,Pêssego,Primavera,4.9,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,50,Cartão de Crédito,Anualmente,NM
667,35,Masculino,Capuz,Roupas,26,Colorado,L,Turquesa,Inverno,3.1,Sim,Dinheiro,Frete grátis,Sim,Sim,30,Cartão de Débito,Trimestral,CO
668,34,Masculino,Oculos de sol,Acessórios,76,Arizona,S,Azul,Inverno,2.6,Sim,Cartão de Débito,Padrão,Sim,Sim,32,Transferência Bancária,Trimestral,AZ
669,49,Masculino,Camiseta,Roupas,85,Hawaii,S,Turquesa,Outono,2.9,Sim,Cartão de Crédito,Expresso,Sim,Sim,35,Transferência Bancária,Por mês,HI
670,43,Masculino,Jaqueta,Agasalhos,89,Illinois,M,Cinza,Primavera,3.3,Sim,PayPal,Frete grátis,Sim,Sim,45,Venmo,Bimensalmente,IL
671,63,Masculino,Suéter,Roupas,41,Louisiana,XL,Roxo,Primavera,4.8,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,37,Dinheiro,Bimensalmente,LA
672,38,Masculino,Jaqueta,Agasalhos,30,Iowa,L,Preto,Inverno,4.7,Sim,PayPal,Expresso,Sim,Sim,45,Dinheiro,Semanalmente,IA
673,59,Masculino,Meias,Roupas,53,Washington,M,Pêssego,Inverno,3.3,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,29,Dinheiro,Trimestral,WA
674,35,Masculino,Camisa,Roupas,66,Oklahoma,M,Índigo,Primavera,4.2,Sim,Dinheiro,Frete grátis,Sim,Sim,27,Venmo,Bimensalmente,OK
675,48,Masculino,Joia,Acessórios,33,Washington,XL,Bege,Inverno,4.7,Sim,Venmo,Retirada na loja,Sim,Sim,36,Transferência Bancária,Anualmente,WA
676,64,Masculino,Oculos de sol,Acessórios,86,Arkansas,M,Amarelo,Primavera,2.6,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,9,Dinheiro,Anualmente,AR
677,28,Masculino,Calça,Roupas,60,Connecticut,M,Pêssego,Inverno,2.9,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,38,Venmo,Bimensalmente,CT
678,60,Masculino,Meias,Roupas,62,Washington,S,Turquesa,Verão,2.7,Sim,PayPal,Expresso,Sim,Sim,41,PayPal,Anualmente,WA
679,27,Masculino,Blusa,Roupas,74,Maine,M,Azul-petrolio,Outono,3.3,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,25,Cartão de Débito,A cada 3 meses,ME
680,56,Masculino,Sandálias,Calçados,95,Michigan,M,Turquesa,Outono,3.4,Sim,PayPal,Expresso,Sim,Sim,37,Venmo,Quinzenal,MI
681,58,Masculino,Tênis,Calçados,25,Tennessee,M,Magenta,Primavera,4.2,Sim,Venmo,Expresso,Sim,Sim,3,PayPal,Anualmente,TN
682,30,Masculino,Camisa,Roupas,59,Louisiana,XL,Roxo,Inverno,3.8,Sim,PayPal,Envio em 2 dias,Sim,Sim,24,Cartão de Crédito,A cada 3 meses,LA
683,23,Masculino,Jaqueta,Agasalhos,29,Missouri,M,Marrom,Verão,4.0,Sim,Cartão de Débito,Padrão,Sim,Sim,49,Cartão de Crédito,Bimensalmente,MO
684,33,Masculino,Sandálias,Calçados,36,Michigan,S,Violeta,Inverno,2.7,Sim,Venmo,Frete grátis,Sim,Sim,3,Transferência Bancária,Por mês,MI
685,63,Masculino,Chapéu,Acessórios,82,Alabama,M,Amarelo,Verão,4.7,Sim,Transferência Bancária,Expresso,Sim,Sim,42,Cartão de Débito,Por mês,AL
686,70,Masculino,Blusa,Roupas,71,Massachusetts,XL,Magenta,Inverno,3.5,Sim,Cartão de Crédito,Padrão,Sim,Sim,32,Dinheiro,Quinzenal,MA
687,70,Masculino,Suéter,Roupas,35,Indiana,L,Bege,Outono,3.0,Sim,PayPal,Envio em 2 dias,Sim,Sim,33,Venmo,Quinzenal,IN
688,19,Masculino,Luvas,Acessórios,38,West Virginia,XL,Turquesa,Inverno,3.3,Sim,Dinheiro,Frete grátis,Sim,Sim,46,Transferência Bancária,Trimestral,WV
689,25,Masculino,Lenço,Acessórios,59,Michigan,S,Pêssego,Verão,4.7,Sim,Dinheiro,Retirada na loja,Sim,Sim,44,Venmo,Por mês,MI
690,19,Masculino,Capuz,Roupas,91,Pennsylvania,M,Laranja,Verão,4.7,Sim,Dinheiro,Expresso,Sim,Sim,35,Cartão de Crédito,A cada 3 meses,PA
691,25,Masculino,Shorts,Roupas,68,Alaska,XL,Vermelho,Primavera,4.8,Sim,Transferência Bancária,Padrão,Sim,Sim,45,Transferência Bancária,Semanalmente,AK
692,60,Masculino,Mochila,Acessórios,21,Massachusetts,L,Prata,Verão,2.9,Sim,Cartão de Crédito,Padrão,Sim,Sim,37,PayPal,Bimensalmente,MA
693,35,Masculino,Oculos de sol,Acessórios,95,North Dakota,M,Ciano,Primavera,4.0,Sim,Venmo,Envio em 2 dias,Sim,Sim,40,Cartão de Débito,A cada 3 meses,ND
694,46,Masculino,Shorts,Roupas,52,Vermont,L,Turquesa,Primavera,3.1,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,30,Dinheiro,A cada 3 meses,VT
695,41,Masculino,Vestido,Roupas,21,Kentucky,S,Carvão,Outono,3.5,Sim,Venmo,Envio em 2 dias,Sim,Sim,38,Venmo,A cada 3 meses,KY
696,30,Masculino,Shorts,Roupas,67,Nevada,XL,Pêssego,Verão,3.7,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,15,Cartão de Débito,A cada 3 meses,NV
697,44,Masculino,Cinto,Acessórios,42,Utah,L,Verde,Outono,2.8,Sim,Transferência Bancária,Padrão,Sim,Sim,49,Dinheiro,Por mês,UT
698,61,Masculino,Lenço,Acessórios,63,North Dakota,XL,Marrom,Verão,4.6,Sim,Transferência Bancária,Frete grátis,Sim,Sim,40,Cartão de Débito,Trimestral,ND
699,55,Masculino,Botas,Calçados,41,Iowa,M,Amarelo,Inverno,3.8,Sim,PayPal,Padrão,Sim,Sim,40,Cartão de Débito,Semanalmente,IA
700,50,Masculino,Bolsa,Acessórios,46,Connecticut,M,Carvão,Outono,2.6,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,5,PayPal,Semanalmente,CT
701,57,Masculino,Calça,Roupas,79,Wisconsin,L,Oliva,Inverno,4.1,Sim,Venmo,Padrão,Sim,Sim,5,PayPal,Por mês,WI
702,51,Masculino,Botas,Calçados,90,Idaho,L,Vermelho,Outono,3.3,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,5,Cartão de Débito,A cada 3 meses,ID
703,18,Masculino,Camisa,Roupas,71,Montana,M,Branco,Inverno,3.4,Sim,Transferência Bancária,Retirada na loja,Sim,Sim,1,Dinheiro,Semanalmente,MT
704,63,Masculino,Vestido,Roupas,87,Connecticut,L,Rosa,Verão,3.0,Sim,Cartão de Débito,Padrão,Sim,Sim,21,Venmo,Semanalmente,CT
705,34,Masculino,Capuz,Roupas,66,Idaho,S,Preto,Primavera,3.2,Sim,Venmo,Expresso,Sim,Sim,18,PayPal,Anualmente,ID
706,25,Masculino,Calça,Roupas,90,Arkansas,XL,Índigo,Verão,4.5,Sim,PayPal,Frete grátis,Sim,Sim,49,Dinheiro,Trimestral,AR
707,46,Masculino,Jeans,Roupas,47,Iowa,L,Turquesa,Verão,4.8,Sim,Venmo,Expresso,Sim,Sim,27,Cartão de Débito,Semanalmente,IA
708,59,Masculino,Camisa,Roupas,38,Louisiana,L,Roxo,Primavera,3.7,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,21,Venmo,Anualmente,LA
709,37,Masculino,Mochila,Acessórios,50,Kentucky,L,Bege,Verão,3.4,Sim,Dinheiro,Retirada na loja,Sim,Sim,19,Dinheiro,Quinzenal,KY
710,49,Masculino,Jaqueta,Agasalhos,79,Massachusetts,L,Carvão,Verão,4.6,Sim,Cartão de Débito,Padrão,Sim,Sim,23,Cartão de Débito,Por mês,MA
711,22,Masculino,Lenço,Acessórios,91,Virginia,L,Turquesa,Primavera,4.1,Sim,Transferência Bancária,Padrão,Sim,Sim,26,PayPal,Quinzenal,VA
712,64,Masculino,Botas,Calçados,60,New Hampshire,M,Marrom,Primavera,3.5,Sim,PayPal,Envio em 2 dias,Sim,Sim,13,Transferência Bancária,Bimensalmente,NH
713,42,Masculino,Blusa,Roupas,81,New Hampshire,XL,Preto,Verão,3.8,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,36,Transferência Bancária,Trimestral,NH
714,37,Masculino,Capuz,Roupas,90,Oregon,M,Lavanda,Verão,2.6,Sim,Transferência Bancária,Expresso,Sim,Sim,39,Transferência Bancária,Bimensalmente,OR
715,26,Masculino,Jaqueta,Agasalhos,70,South Dakota,M,Magenta,Outono,4.4,Sim,Venmo,Retirada na loja,Sim,Sim,40,Cartão de Débito,Quinzenal,SD
716,33,Masculino,Jeans,Roupas,63,Delaware,L,Verde,Primavera,2.6,Sim,Venmo,Expresso,Sim,Sim,37,Cartão de Débito,Trimestral,DE
717,30,Masculino,Joia,Acessórios,29,Missouri,M,Oliva,Primavera,3.6,Sim,PayPal,Expresso,Sim,Sim,9,Venmo,Bimensalmente,MO
718,21,Masculino,Meias,Roupas,90,Alaska,L,Verde,Primavera,4.2,Sim,Cartão de Débito,Expresso,Sim,Sim,7,Venmo,A cada 3 meses,AK
719,22,Masculino,Camisa,Roupas,22,Florida,M,Pêssego,Verão,4.6,Sim,Transferência Bancária,Padrão,Sim,Sim,25,Transferência Bancária,Anualmente,FL
720,63,Masculino,Shorts,Roupas,22,Mississippi,L,Turquesa,Verão,3.3,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,42,Venmo,Bimensalmente,MS
721,33,Masculino,Joia,Acessórios,62,New Mexico,L,Laranja,Outono,3.4,Sim,Transferência Bancária,Frete grátis,Sim,Sim,19,Cartão de Débito,Semanalmente,NM
722,43,Masculino,Blusa,Roupas,57,California,L,Prata,Verão,4.4,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,41,Cartão de Débito,A cada 3 meses,CA
723,27,Masculino,Suéter,Roupas,32,Wyoming,S,Azul,Verão,4.3,Sim,PayPal,Retirada na loja,Sim,Sim,50,Dinheiro,Bimensalmente,WY
724,35,Masculino,Joia,Acessórios,53,Missouri,L,Ciano,Outono,3.5,Sim,Dinheiro,Expresso,Sim,Sim,43,PayPal,Por mês,MO
725,37,Masculino,Camiseta,Roupas,79,New Hampshire,XL,Verde,Outono,4.7,Sim,Dinheiro,Retirada na loja,Sim,Sim,36,Venmo,A cada 3 meses,NH
726,61,Masculino,Chapéu,Acessórios,61,Texas,L,Prata,Inverno,3.1,Sim,Dinheiro,Padrão,Sim,Sim,33,Cartão de Débito,Quinzenal,TX
727,32,Masculino,Shorts,Roupas,78,North Dakota,L,Amarelo,Verão,3.6,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,20,Transferência Bancária,A cada 3 meses,ND
728,62,Masculino,Suéter,Roupas,97,Arkansas,S,Cinza,Inverno,4.8,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,37,Venmo,A cada 3 meses,AR
