id_cliente,idade,sexo,item_comprado,categoria,valor_compra(usd),localização,tamanho_item,cor_item,temporada_compra,classificação_cliente_compra,assinatura_cliente,método_pagamento,tipo_envio_cliente,desconto_compra,código_promocional,transações_concluidas_cliente,preferência_método_pagamento,frequência_compras_cliente
631,41,Masculino,Joia,Acessórios,94,Mississippi,S,Prata,Outono,4.3,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,33,Cartão de Débito,Anualmente
632,55,Masculino,Botas,Calçados,68,Washington,S,Violeta,Verão,4.1,Sim,Venmo,Retirada na loja,Sim,Sim,27,Dinheiro,Quinzenal
633,35,Masculino,Mochila,Acessórios,51,Wyoming,M,Vermelho,Inverno,3.9,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,19,Venmo,Quinzenal
634,66,Masculino,Sandálias,Calçados,33,Minnesota,M,Laranja,Primavera,2.9,Sim,Transferência Bancária,Expresso,Sim,Sim,50,Cartão de Débito,Trimestral
635,36,Masculino,Tênis,Calçados,60,Ohio,M,Azul-petrolio,Verão,3.9,Sim,Transferência Bancária,Padrão,Sim,Sim,46,PayPal,Semanalmente
636,27,Masculino,Capuz,Roupas,59,South Carolina,M,Marrom,Outono,4.3,Sim,PayPal,Envio em 2 dias,Sim,Sim,28,Dinheiro,Trimestral
637,41,Masculino,Bolsa,Acessórios,30,Wisconsin,M,Índigo,Verão,2.8,Sim,Dinheiro,Retirada na loja,Sim,Sim,14,Transferência Bancária,A cada 3 meses
638,21,Masculino,Suéter,Roupas,20,Tennessee,M,Ciano,Inverno,3.4,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,46,Dinheiro,Quinzenal
639,53,Masculino,Sandálias,Calçados,20,Maryland,S,Azul,Verão,2.7,Sim,Venmo,Expresso,Sim,Sim,41,PayPal,Por mês
640,54,Masculino,Vestido,Roupas,24,Mississippi,L,Oliva,Primavera,4.0,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,50,Cartão de Crédito,Anualmente
641,53,Masculino,Saia,Roupas,88,Minnesota,M,Cinza,Verão,4.4,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,28,Cartão de Débito,Quinzenal
642,47,Masculino,Blusa,Roupas,78,Alaska,M,Vermelho,Inverno,3.9,Sim,Venmo,Envio em 2 dias,Sim,Sim,23,Cartão de Crédito,A cada 3 meses
643,64,Masculino,Saia,Roupas,25,Arkansas,L,Vermelho,Primavera,2.8,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,14,Cartão de Débito,Bimensalmente
644,18,Masculino,Suéter,Roupas,57,Oregon,XL,Verde,Inverno,3.2,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,10,Transferência Bancária,A cada 3 meses
645,68,Masculino,Mochila,Acessórios,93,Louisiana,S,Azul,Verão,4.3,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,37,Dinheiro,Semanalmente
646,62,Masculino,Capuz,Roupas,42,Oklahoma,S,Roxo,Verão,4.2,Sim,Cartão de Crédito,Expresso,Sim,Sim,15,Venmo,Bimensalmente
647,51,Masculino,Botas,Calçados,54,Indiana,XL,Rosa,Primavera,4.9,Sim,Cartão de Débito,Padrão,Sim,Sim,19,Venmo,Bimensalmente
648,54,Masculino,Blusa,Roupas,70,Mississippi,XL,Carvão,Verão,3.7,Sim,Transferência Bancária,Expresso,Sim,Sim,23,Cartão de Crédito,Quinzenal
649,22,Masculino,Capuz,Roupas,31,Michigan,M,Marrom,Inverno,4.1,Sim,Transferência Bancária,Retirada na loja,Sim,Sim,35,Cartão de Crédito,Semanalmente
650,53,Masculino,Calça,Roupas,93,Delaware,L,Laranja,Primavera,4.2,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,33,PayPal,A cada 3 meses
651,34,Masculino,Luvas,Acessórios,40,Florida,M,Magenta,Primavera,3.9,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,12,Transferência Bancária,Anualmente
652,32,Masculino,Chapéu,Acessórios,32,Arkansas,L,Amarelo,Verão,2.9,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,41,Venmo,Quinzenal
653,64,Masculino,Oculos de sol,Acessórios,27,Minnesota,M,Bege,Inverno,3.1,Sim,PayPal,Frete grátis,Sim,Sim,27,Venmo,Semanalmente
654,20,Masculino,Lenço,Acessórios,68,North Dakota,M,Oliva,Inverno,3.6,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,45,Dinheiro,Quinzenal
655,24,Masculino,Bolsa,Acessórios,59,California,L,Cinza,Verão,4.4,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,23,Venmo,Anualmente
656,20,Masculino,Bolsa,Acessórios,36,Mississippi,S,Roxo,Outono,3.1,Sim,Cartão de Débito,Frete grátis,Sim,Sim,19,Venmo,Por mês
657,42,Masculino,Jeans,Roupas,23,Pennsylvania,M,Bege,Verão,3.9,Sim,Cartão de Débito,Padrão,Sim,Sim,6,PayPal,Trimestral
658,48,Masculino,Jaqueta,Agasalhos,80,Arizona,M,Branco,Inverno,4.3,Sim,PayPal,Frete grátis,Sim,Sim,6,PayPal,Trimestral
659,62,Masculino,Mochila,Acessórios,37,Louisiana,S,Branco,Outono,4.9,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,20,Venmo,Semanalmente
660,62,Masculino,Shorts,Roupas,52,Virginia,S,Ouro,Primavera,3.6,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,8,Dinheiro,Semanalmente
661,50,Masculino,Casaco,Agasalhos,79,Montana,M,Oliva,Outono,5.0,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,39,Cartão de Crédito,Trimestral
662,57,Masculino,Camisa,Roupas,68,Iowa,XL,Verde,Outono,4.1,Sim,Dinheiro,Retirada na loja,Sim,Sim,39,Cartão de Crédito,Trimestral
663,24,Masculino,Luvas,Acessórios,98,Illinois,L,Magenta,Outono,2.8,Sim,Cartão de Débito,Expresso,Sim,Sim,39,Venmo,Bimensalmente
664,59,Masculino,Vestido,Roupas,83,Alaska,M,Carvão,Outono,4.7,Sim,Dinheiro,Expresso,Sim,Sim,23,Cartão de Crédito,Por mês
665,63,Masculino,Calça,Roupas,83,Colorado,M,Índigo,Inverno,4.4,Sim,Dinheiro,Expresso,Sim,Sim,41,PayPal,Bimensalmente
666,41,Masculino,Calça,Roupas,55,New Mexico,M,Pêssego,Primavera,4.9,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,50,Cartão de Crédito,Anualmente
667,35,Masculino,Capuz,Roupas,26,Colorado,L,Turquesa,Inverno,3.1,Sim,Dinheiro,Frete grátis,Sim,Sim,30,Cartão de Débito,Trimestral
668,34,Masculino,Oculos de sol,Acessórios,76,Arizona,S,Azul,Inverno,2.6,Sim,Cartão de Débito,Padrão,Sim,Sim,32,Transferência Bancária,Trimestral
669,49,Masculino,Camiseta,Roupas,85,Hawaii,S,Turquesa,Outono,2.9,Sim,Cartão de Crédito,Expresso,Sim,Sim,35,Transferência Bancária,Por mês
670,43,Masculino,Jaqueta,Agasalhos,89,Illinois,M,Cinza,Primavera,3.3,Sim,PayPal,Frete grátis,Sim,Sim,45,Venmo,Bimensalmente
671,63,Masculino,Suéter,Roupas,41,Louisiana,XL,Roxo,Primavera,4.8,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,37,Dinheiro,Bimensalmente
672,38,Masculino,Jaqueta,Agasalhos,30,Iowa,L,Preto,Inverno,4.7,Sim,PayPal,Expresso,Sim,Sim,45,Dinheiro,Semanalmente
673,59,Masculino,Meias,Roupas,53,Washington,M,Pêssego,Inverno,3.3,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,29,Dinheiro,Trimestral
674,35,Masculino,Camisa,Roupas,66,Oklahoma,M,Índigo,Primavera,4.2,Sim,Dinheiro,Frete grátis,Sim,Sim,27,Venmo,Bimensalmente
675,48,Masculino,Joia,Acessórios,33,Washington,XL,Bege,Inverno,4.7,Sim,Venmo,Retirada na loja,Sim,Sim,36,Transferência Bancária,Anualmente
676,64,Masculino,Oculos de sol,Acessórios,86,Arkansas,M,Amarelo,Primavera,2.6,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,9,Dinheiro,Anualmente
677,28,Masculino,Calça,Roupas,60,Connecticut,M,Pêssego,Inverno,2.9,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,38,Venmo,Bimensalmente
678,60,Masculino,Meias,Roupas,62,Washington,S,Turquesa,Verão,2.7,Sim,PayPal,Expresso,Sim,Sim,41,PayPal,Anualmente
679,27,Masculino,Blusa,Roupas,74,Maine,M,Azul-petrolio,Outono,3.3,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,25,Cartão de Débito,A cada 3 meses
680,56,Masculino,Sandálias,Calçados,95,Michigan,M,Turquesa,Outono,3.4,Sim,PayPal,Expresso,Sim,Sim,37,Venmo,Quinzenal
681,58,Masculino,Tênis,Calçados,25,Tennessee,M,Magenta,Primavera,4.2,Sim,Venmo,Expresso,Sim,Sim,3,PayPal,Anualmente
682,30,Masculino,Camisa,Roupas,59,Louisiana,XL,Roxo,Inverno,3.8,Sim,PayPal,Envio em 2 dias,Sim,Sim,24,Cartão de Crédito,A cada 3 meses
683,23,Masculino,Jaqueta,Agasalhos,29,Missouri,M,Marrom,Verão,4.0,Sim,Cartão de Débito,Padrão,Sim,Sim,49,Cartão de Crédito,Bimensalmente
684,33,Masculino,Sandálias,Calçados,36,Michigan,S,Violeta,Inverno,2.7,Sim,Venmo,Frete grátis,Sim,Sim,3,Transferência Bancária,Por mês
685,63,Masculino,Chapéu,Acessórios,82,Alabama,M,Amarelo,Verão,4.7,Sim,Transferência Bancária,Expresso,Sim,Sim,42,Cartão de Débito,Por mês
686,70,Masculino,Blusa,Roupas,71,Massachusetts,XL,Magenta,Inverno,3.5,Sim,Cartão de Crédito,Padrão,Sim,Sim,32,Dinheiro,Quinzenal
687,70,Masculino,Suéter,Roupas,35,Indiana,L,Bege,Outono,3.0,Sim,PayPal,Envio em 2 dias,Sim,Sim,33,Venmo,Quinzenal
688,19,Masculino,Luvas,Acessórios,38,West Virginia,XL,Turquesa,Inverno,3.3,Sim,Dinheiro,Frete grátis,Sim,Sim,46,Transferência Bancária,Trimestral
689,25,Masculino,Lenço,Acessórios,59,Michigan,S,Pêssego,Verão,4.7,Sim,Dinheiro,Retirada na loja,Sim,Sim,44,Venmo,Por mês
690,19,Masculino,Capuz,Roupas,91,Pennsylvania,M,Laranja,Verão,4.7,Sim,Dinheiro,Expresso,Sim,Sim,35,Cartão de Crédito,A cada 3 meses
691,25,Masculino,Shorts,Roupas,68,Alaska,XL,Vermelho,Primavera,4.8,Sim,Transferência Bancária,Padrão,Sim,Sim,45,Transferência Bancária,Semanalmente
692,60,Masculino,Mochila,Acessórios,21,Massachusetts,L,Prata,Verão,2.9,Sim,Cartão de Crédito,Padrão,Sim,Sim,37,PayPal,Bimensalmente
693,35,Masculino,Oculos de sol,Acessórios,95,North Dakota,M,Ciano,Primavera,4.0,Sim,Venmo,Envio em 2 dias,Sim,Sim,40,Cartão de Débito,A cada 3 meses
694,46,Masculino,Shorts,Roupas,52,Vermont,L,Turquesa,Primavera,3.1,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,30,Dinheiro,A cada 3 meses
695,41,Masculino,Vestido,Roupas,21,Kentucky,S,Carvão,Outono,3.5,Sim,Venmo,Envio em 2 dias,Sim,Sim,38,Venmo,A cada 3 meses
696,30,Masculino,Shorts,Roupas,67,Nevada,XL,Pêssego,Verão,3.7,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,15,Cartão de Débito,A cada 3 meses
697,44,Masculino,Cinto,Acessórios,42,Utah,L,Verde,Outono,2.8,Sim,Transferência Bancária,Padrão,Sim,Sim,49,Dinheiro,Por mês
698,61,Masculino,Lenço,Acessórios,63,North Dakota,XL,Marrom,Verão,4.6,Sim,Transferência Bancária,Frete grátis,Sim,Sim,40,Cartão de Débito,Trimestral
699,55,Masculino,Botas,Calçados,41,Iowa,M,Amarelo,Inverno,3.8,Sim,PayPal,Padrão,Sim,Sim,40,Cartão de Débito,Semanalmente
700,50,Masculino,Bolsa,Acessórios,46,Connecticut,M,Carvão,Outono,2.6,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,5,PayPal,Semanalmente
701,57,Masculino,Calça,Roupas,79,Wisconsin,L,Oliva,Inverno,4.1,Sim,Venmo,Padrão,Sim,Sim,5,PayPal,Por mês
702,51,Masculino,Botas,Calçados,90,Idaho,L,Vermelho,Outono,3.3,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,5,Cartão de Débito,A cada 3 meses
703,18,Masculino,Camisa,Roupas,71,Montana,M,Branco,Inverno,3.4,Sim,Transferência Bancária,Retirada na loja,Sim,Sim,1,Dinheiro,Semanalmente
704,63,Masculino,Vestido,Roupas,87,Connecticut,L,Rosa,Verão,3.0,Sim,Cartão de Débito,Padrão,Sim,Sim,21,Venmo,Semanalmente
705,34,Masculino,Capuz,Roupas,66,Idaho,S,Preto,Primavera,3.2,Sim,Venmo,Expresso,Sim,Sim,18,PayPal,Anualmente
706,25,Masculino,Calça,Roupas,90,Arkansas,XL,Índigo,Verão,4.5,Sim,PayPal,Frete grátis,Sim,Sim,49,Dinheiro,Trimestral
707,46,Masculino,Jeans,Roupas,47,Iowa,L,Turquesa,Verão,4.8,Sim,Venmo,Expresso,Sim,Sim,27,Cartão de Débito,Semanalmente
708,59,Masculino,Camisa,Roupas,38,Louisiana,L,Roxo,Primavera,3.7,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,21,Venmo,Anualmente
709,37,Masculino,Mochila,Acessórios,50,Kentucky,L,Bege,Verão,3.4,Sim,Dinheiro,Retirada na loja,Sim,Sim,19,Dinheiro,Quinzenal
710,49,Masculino,Jaqueta,Agasalhos,79,Massachusetts,L,Carvão,Verão,4.6,Sim,Cartão de Débito,Padrão,Sim,Sim,23,Cartão de Débito,Por mês
711,22,Masculino,Lenço,Acessórios,91,Virginia,L,Turquesa,Primavera,4.1,Sim,Transferência Bancária,Padrão,Sim,Sim,26,PayPal,Quinzenal
712,64,Masculino,Botas,Calçados,60,New Hampshire,M,Marrom,Primavera,3.5,Sim,PayPal,Envio em 2 dias,Sim,Sim,13,Transferência Bancária,Bimensalmente
713,42,Masculino,Blusa,Roupas,81,New Hampshire,XL,Preto,Verão,3.8,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,36,Transferência Bancária,Trimestral
714,37,Masculino,Capuz,Roupas,90,Oregon,M,Lavanda,Verão,2.6,Sim,Transferência Bancária,Expresso,Sim,Sim,39,Transferência Bancária,Bimensalmente
715,26,Masculino,Jaqueta,Agasalhos,70,South Dakota,M,Magenta,Outono,4.4,Sim,Venmo,Retirada na loja,Sim,Sim,40,Cartão de Débito,Quinzenal
716,33,Masculino,Jeans,Roupas,63,Delaware,L,Verde,Primavera,2.6,Sim,Venmo,Expresso,Sim,Sim,37,Cartão de Débito,Trimestral
717,30,Masculino,Joia,Acessórios,29,Missouri,M,Oliva,Primavera,3.6,Sim,PayPal,Expresso,Sim,Sim,9,Venmo,Bimensalmente
718,21,Masculino,Meias,Roupas,90,Alaska,L,Verde,Primavera,4.2,Sim,Cartão de Débito,Expresso,Sim,Sim,7,Venmo,A cada 3 meses
719,22,Masculino,Camisa,Roupas,22,Florida,M,Pêssego,Verão,4.6,Sim,Transferência Bancária,Padrão,Sim,Sim,25,Transferência Bancária,Anualmente
720,63,Masculino,Shorts,Roupas,22,Mississippi,L,Turquesa,Verão,3.3,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,42,Venmo,Bimensalmente
721,33,Masculino,Joia,Acessórios,62,New Mexico,L,Laranja,Outono,3.4,Sim,Transferência Bancária,Frete grátis,Sim,Sim,19,Cartão de Débito,Semanalmente
722,43,Masculino,Blusa,Roupas,57,California,L,Prata,Verão,4.4,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,41,Cartão de Débito,A cada 3 meses
723,27,Masculino,Suéter,Roupas,32,Wyoming,S,Azul,Verão,4.3,Sim,PayPal,Retirada na loja,Sim,Sim,50,Dinheiro,Bimensalmente
724,35,Masculino,Joia,Acessórios,53,Missouri,L,Ciano,Outono,3.5,Sim,Dinheiro,Expresso,Sim,Sim,43,PayPal,Por mês
725,37,Masculino,Camiseta,Roupas,79,New Hampshire,XL,Verde,Outono,4.7,Sim,Dinheiro,Retirada na loja,Sim,Sim,36,Venmo,A cada 3 meses
726,61,Masculino,Chapéu,Acessórios,61,Texas,L,Prata,Inverno,3.1,Sim,Dinheiro,Padrão,Sim,Sim,33,Cartão de Débito,Quinzenal
727,32,Masculino,Shorts,Roupas,78,North Dakota,L,Amarelo,Verão,3.6,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,20,Transferência Bancária,A cada 3 meses
728,62,Masculino,Suéter,Roupas,97,Arkansas,S,Cinza,Inverno,4.8,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,37,Venmo,A cada 3 meses
729,29,Masculino,Jeans,Roupas,78,Nebraska,M,Rosa,Inverno,3.7,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,12,PayPal,A cada 3 meses
730,41,Masculino,Oculos de sol,Acessórios,56,Minnesota,L,Bege,Verão,3.2,Sim,Venmo,Expresso,Sim,Sim,46,PayPal,A cada 3 meses
731,48,Masculino,Botas,Calçados,25,Massachusetts,M,Índigo,Verão,3.9,Sim,Venmo,Padrão,Sim,Sim,28,Venmo,Quinzenal
732,43,Masculino,Casaco,Agasalhos,28,Arkansas,M,Vermelho,Primavera,3.5,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,30,PayPal,Quinzenal
733,34,Masculino,Camisa,Roupas,57,New Hampshire,L,Azul,Primavera,2.8,Sim,Dinheiro,Expresso,Sim,Sim,28,Dinheiro,Bimensalmente
734,45,Masculino,Vestido,Roupas,36,Rhode Island,L,Ciano,Outono,2.7,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,20,Cartão de Débito,Bimensalmente
735,65,Masculino,Camisa,Roupas,69,New Jersey,S,Violeta,Inverno,3.1,Sim,Venmo,Expresso,Sim,Sim,39,Transferência Bancária,A cada 3 meses
736,61,Masculino,Oculos de sol,Acessórios,48,Montana,M,Laranja,Outono,3.6,Sim,Venmo,Envio em 2 dias,Sim,Sim,48,Dinheiro,Bimensalmente
737,18,Masculino,Vestido,Roupas,58,Colorado,L,Marrom,Primavera,2.9,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,32,Cartão de Crédito,A cada 3 meses
738,47,Masculino,Oculos de sol,Acessórios,24,Nebraska,M,Azul-petrolio,Primavera,3.6,Sim,PayPal,Retirada na loja,Sim,Sim,28,PayPal,Anualmente
739,56,Masculino,Oculos de sol,Acessórios,31,Minnesota,L,Laranja,Inverno,3.5,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,27,Venmo,Trimestral
740,64,Masculino,Shorts,Roupas,29,Minnesota,S,Roxo,Verão,3.5,Sim,Dinheiro,Frete grátis,Sim,Sim,26,Venmo,Bimensalmente
741,26,Masculino,Jeans,Roupas,69,South Dakota,M,Laranja,Verão,2.8,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,22,Cartão de Crédito,Quinzenal
742,22,Masculino,Camiseta,Roupas,79,West Virginia,XL,Amarelo,Verão,4.7,Sim,Cartão de Débito,Frete grátis,Sim,Sim,23,Transferência Bancária,A cada 3 meses
743,64,Masculino,Calça,Roupas,39,Nevada,M,Carvão,Verão,3.1,Sim,Cartão de Débito,Expresso,Sim,Sim,21,Cartão de Débito,Trimestral
744,21,Masculino,Oculos de sol,Acessórios,84,North Carolina,L,Cinza,Outono,4.9,Sim,PayPal,Frete grátis,Sim,Sim,36,Dinheiro,Semanalmente
745,67,Masculino,Botas,Calçados,66,Illinois,S,Carvão,Primavera,4.1,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,42,Cartão de Débito,Bimensalmente
746,46,Masculino,Camiseta,Roupas,92,Michigan,L,Laranja,Outono,4.7,Sim,Cartão de Crédito,Padrão,Sim,Sim,4,Venmo,Por mês
747,40,Masculino,Sandálias,Calçados,45,Michigan,M,Vermelho,Inverno,2.5,Sim,Cartão de Débito,Frete grátis,Sim,Sim,47,Cartão de Crédito,Anualmente
748,51,Masculino,Shorts,Roupas,74,Oklahoma,L,Ouro,Primavera,4.4,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,13,Transferência Bancária,Semanalmente
749,35,Masculino,Chapéu,Acessórios,39,South Dakota,L,Marrom,Outono,3.9,Sim,Transferência Bancária,Frete grátis,Sim,Sim,8,Transferência Bancária,Trimestral
750,56,Masculino,Lenço,Acessórios,71,Oklahoma,M,Oliva,Inverno,3.7,Sim,Transferência Bancária,Padrão,Sim,Sim,11,Cartão de Débito,Trimestral
751,25,Masculino,Camiseta,Roupas,95,Maryland,L,Violeta,Outono,3.4,Sim,Transferência Bancária,Frete grátis,Sim,Sim,5,Venmo,Anualmente
752,65,Masculino,Luvas,Acessórios,72,Ohio,L,Índigo,Outono,4.8,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,1,Cartão de Crédito,Por mês
753,39,Masculino,Lenço,Acessórios,85,Ohio,L,Amarelo,Outono,4.2,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,17,PayPal,A cada 3 meses
754,47,Masculino,Botas,Calçados,54,Massachusetts,M,Azul-petrolio,Outono,3.4,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,27,Venmo,Trimestral
755,36,Masculino,Luvas,Acessórios,41,North Carolina,L,Rosa,Primavera,2.9,Sim,Dinheiro,Retirada na loja,Sim,Sim,3,Cartão de Débito,Trimestral
756,66,Masculino,Casaco,Agasalhos,24,Florida,M,Violeta,Primavera,3.3,Sim,Venmo,Frete grátis,Sim,Sim,22,PayPal,Semanalmente
757,62,Masculino,Cinto,Acessórios,99,Montana,S,Laranja,Verão,4.8,Sim,Dinheiro,Padrão,Sim,Sim,24,Dinheiro,Quinzenal
758,41,Masculino,Capuz,Roupas,32,Minnesota,M,Vermelho,Outono,3.8,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,18,Cartão de Débito,Trimestral
759,66,Masculino,Sapatos,Calçados,71,Massachusetts,L,Pêssego,Verão,4.6,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,39,Transferência Bancária,A cada 3 meses
760,51,Masculino,Vestido,Roupas,49,Rhode Island,XL,Verde,Inverno,2.6,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,25,Cartão de Crédito,Quinzenal
761,33,Masculino,Luvas,Acessórios,50,Minnesota,XL,Violeta,Outono,3.4,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,6,Dinheiro,Anualmente
762,57,Masculino,Joia,Acessórios,91,Nevada,L,Amarelo,Outono,4.2,Sim,Cartão de Crédito,Expresso,Sim,Sim,26,Transferência Bancária,Semanalmente
763,45,Masculino,Cinto,Acessórios,46,New Mexico,M,Rosa,Outono,3.9,Sim,Cartão de Crédito,Padrão,Sim,Sim,43,Cartão de Débito,Quinzenal
764,61,Masculino,Suéter,Roupas,50,North Carolina,M,Marrom,Primavera,2.9,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,6,Cartão de Crédito,Por mês
765,55,Masculino,Saia,Roupas,39,Virginia,XL,Prata,Outono,4.2,Sim,Transferência Bancária,Frete grátis,Sim,Sim,6,Cartão de Débito,Trimestral
766,54,Masculino,Tênis,Calçados,99,Alaska,M,Rosa,Verão,3.0,Sim,Transferência Bancária,Retirada na loja,Sim,Sim,13,Dinheiro,Trimestral
767,57,Masculino,Luvas,Acessórios,48,Nevada,M,Ciano,Inverno,3.6,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,13,PayPal,Por mês
768,27,Masculino,Casaco,Agasalhos,77,Pennsylvania,M,Marrom,Outono,2.5,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,11,Dinheiro,Anualmente
769,64,Masculino,Mochila,Acessórios,95,Illinois,XL,Vermelho,Primavera,2.6,Sim,PayPal,Expresso,Sim,Sim,45,Venmo,Semanalmente
770,52,Masculino,Meias,Roupas,100,Delaware,M,Prata,Primavera,4.3,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,8,PayPal,Por mês
771,19,Masculino,Tênis,Calçados,54,Vermont,M,Cinza,Primavera,3.3,Sim,Venmo,Expresso,Sim,Sim,8,Cartão de Crédito,Anualmente
772,22,Masculino,Suéter,Roupas,68,Hawaii,L,Ciano,Outono,2.6,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,34,Transferência Bancária,Quinzenal
773,18,Masculino,Jeans,Roupas,22,Illinois,L,Azul-petrolio,Outono,3.6,Sim,Dinheiro,Frete grátis,Sim,Sim,40,Cartão de Débito,Bimensalmente
774,29,Masculino,Chapéu,Acessórios,84,California,L,Índigo,Inverno,2.6,Sim,Venmo,Expresso,Sim,Sim,14,Cartão de Débito,Bimensalmente
775,42,Masculino,Chapéu,Acessórios,46,Nevada,M,Amarelo,Verão,3.5,Sim,Cartão de Crédito,Padrão,Sim,Sim,11,Cartão de Crédito,Trimestral
776,49,Masculino,Bolsa,Acessórios,53,Kentucky,S,Ouro,Inverno,3.0,Sim,PayPal,Retirada na loja,Sim,Sim,8,PayPal,Por mês
777,49,Masculino,Camisa,Roupas,60,Alabama,M,Marrom,Primavera,5.0,Sim,PayPal,Padrão,Sim,Sim,8,Venmo,A cada 3 meses
778,55,Masculino,Meias,Roupas,32,Wyoming,XL,Prata,Primavera,2.5,Sim,Cartão de Crédito,Expresso,Sim,Sim,37,Venmo,Semanalmente
779,29,Masculino,Meias,Roupas,50,Massachusetts,M,Amarelo,Verão,2.9,Sim,Dinheiro,Retirada na loja,Sim,Sim,23,Cartão de Débito,Anualmente
780,60,Masculino,Vestido,Roupas,94,Utah,M,Azul,Primavera,4.6,Sim,Cartão de Crédito,Expresso,Sim,Sim,38,Dinheiro,Anualmente
781,34,Masculino,Sapatos,Calçados,26,New York,M,Turquesa,Primavera,3.6,Sim,Venmo,Frete grátis,Sim,Sim,38,Dinheiro,Trimestral
782,30,Masculino,Lenço,Acessórios,44,Vermont,L,Índigo,Inverno,3.0,Sim,PayPal,Retirada na loja,Sim,Sim,12,Cartão de Crédito,Quinzenal
783,28,Masculino,Capuz,Roupas,57,Hawaii,M,Verde,Verão,4.5,Sim,PayPal,Padrão,Sim,Sim,15,Dinheiro,Semanalmente
784,63,Masculino,Camiseta,Roupas,65,Louisiana,L,Roxo,Inverno,4.5,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,38,PayPal,Quinzenal
785,31,Masculino,Jeans,Roupas,72,Alabama,M,Pêssego,Inverno,3.2,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,41,Transferência Bancária,A cada 3 meses
786,46,Masculino,Shorts,Roupas,62,Louisiana,S,Roxo,Primavera,4.0,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,37,PayPal,Quinzenal
787,70,Masculino,Chapéu,Acessórios,21,Indiana,S,Azul-petrolio,Inverno,4.8,Sim,Cartão de Crédito,Expresso,Sim,Sim,16,Transferência Bancária,A cada 3 meses
788,53,Masculino,Bolsa,Acessórios,85,Michigan,S,Verde,Primavera,3.7,Sim,Transferência Bancária,Frete grátis,Sim,Sim,25,Venmo,Semanalmente
789,50,Masculino,Calça,Roupas,51,Rhode Island,XL,Amarelo,Verão,3.8,Sim,Venmo,Retirada na loja,Sim,Sim,18,Transferência Bancária,Trimestral
